unique_id,timestamp,msg
99cc0368-8df5-49ef-bfd6-bafdd25b13cd,1599542126.8376417,...unsuccessful insert: __enter__
4ac410db-f488-4fe3-b6b2-bddc1ea31ae3,1599542596.5449653,loading invoices-2019-08.json
81b66e16-abe0-493c-9789-54cde091e8c9,1599542599.4753456,loading invoices-2019-09.json
d10cb09e-5e9a-49b9-bca5-420ae43a3e96,1599542603.3630407,loading invoices-2019-10.json
1ce6f8b4-fa9b-4d6e-9ed9-e4e06d17d34f,1599542609.2024753,loading invoices-2019-11.json
8698ea22-ae24-47cc-88cb-a110e543cc89,1599542639.4034405,loading invoices-2019-08.json
2ae5ee2f-c592-4243-b549-a49e2ae12bd3,1599542642.1840117,loading invoices-2019-09.json
c9425f70-9d29-40ae-a4fb-d3f53be9e149,1599542645.8551428,loading invoices-2019-10.json
5fc98e2c-057f-435b-a6e7-cdf01aba1caa,1599542650.6896698,loading invoices-2019-11.json
8740bc92-2b8a-4213-aebc-13d2a41118b2,1599542657.1113243,loading invoices-2019-12.json
8eb96369-e320-4272-a85f-efc1efb4a7be,1599542658.5872912,252359 items loaded
5f79906d-5d13-466d-ac4c-6097bf73b172,1599542679.6118126,252359 items converted to time series
95866dcd-677c-486c-8363-835a7a238ff0,1599542683.6612556,...unsuccessful insert: __enter__
f7d775e9-28e9-49ef-8747-bafede522faf,1599544476.2049394,loading invoices-2019-08.json
d5eb1cfc-2edc-494b-a23c-98a565a3dbba,1599544478.9697087,loading invoices-2019-09.json
e9139d5a-abb6-4cfb-99c7-395aacfa7eec,1599544483.2553573,loading invoices-2019-10.json
3b1cc6d2-2d0f-473a-960c-7e1b5588807b,1599544488.2448826,loading invoices-2019-11.json
a7b941a9-362d-4b2e-ba70-754b3cae8c26,1599544494.600606,loading invoices-2019-12.json
2fa924d4-f260-492a-9a68-384fd4193279,1599544496.0935113,252359 items loaded
2bb4b5b2-5dbf-4476-8963-d043726a80da,1599544518.2405035,252359 items converted to time series
54b820cb-3b9b-4525-bbfb-6682ef549b92,1599544522.2810607,...unsuccessful insert: __enter__
